date,shares_traded,amount_traded,open,high,low,close,fluctuation,transction
106/08/22,"5,031,853","676,154,966",135.5,136,133,133,-1.5,"2,910"
106/08/23,"6,536,842","882,202,897",135,136.5,133.5,133.5,0.5,"3,819"
106/08/24,"9,170,319","1,258,896,335",134,139.5,134,138,4.5,"5,315"
106/08/25,"5,246,593","732,036,604",140,141.5,138.5,138.5,0.5,"3,180"
106/08/28,"3,028,398","419,172,924",139.5,140,137,138.5,0,"1,800"
106/08/29,"2,825,222","386,537,692",138.5,138.5,136,136,-2.5,"1,946"
106/08/30,"2,840,523","388,541,128",137,138.5,136,136,0,"2,159"
106/08/31,"4,789,450","642,963,800",137,137.5,132.5,133.5,-2.5,"2,621"
106/09/01,"4,021,265","537,480,127",134,135,132,134.5,1,"2,747"
106/09/04,"9,150,120","1,200,741,100",133,133,129.5,130,-4.5,"4,596"
106/09/05,"5,248,378","690,771,577",131.5,133,130,132.5,2.5,"3,065"
106/09/06,"6,181,697","808,476,610",132,134,128.5,130,-2.5,"3,349"
106/09/07,"8,801,380","1,116,763,880",131.5,131.5,124.5,125.5,-4.5,"5,879"
106/09/08,"6,007,466","764,818,614",127,129.5,125.5,129,3.5,"3,508"
106/09/11,"4,161,612","533,253,224",129,130.5,125.5,127,-2,"2,548"
106/09/12,"2,857,696","363,790,392",129,129,126,126.5,-0.5,"1,763"
106/09/13,"6,945,870","854,983,564",127,127.5,119,122.5,-4,"3,937"
106/09/14,"4,568,948","560,078,070",123,124,120,123.5,1,"2,752"
106/09/15,"3,785,028","462,745,416",123.5,123.5,120.5,122.5,-1,"1,981"
106/09/18,"3,848,392","478,901,500",124,126,122.5,125,2.5,"2,289"
106/09/19,"3,670,845","453,760,350",124.5,125,122,123.5,-1.5,"2,633"
106/09/20,"8,248,614","973,655,261",122.5,123,115.5,116,-7.5,"5,604"
106/09/21,"8,596,687","1,016,030,379",117,120,116,117,1,"5,059"
106/09/22,"4,666,607","539,299,825",117.5,118.5,113.5,114,-3,"3,011"
106/09/25,"8,826,541","972,113,428",114.5,114.5,108,108,-6,"4,799"
106/09/26,"12,682,052","1,433,114,772",109,115.5,109,112,4,"6,782"
106/09/27,"11,427,611","1,332,880,987",115,118.5,113.5,117,5,"6,286"
106/09/28,"4,467,909","520,607,944",117.5,118,115,116,-1,"2,964"
